ProbeID,kME
isogroupDN39503_c1_g2,0
isogroupDN3960_c0_g1,0
isogroupDN39651_c0_g1,0
isogroupDN39687_c0_g1,0
isogroupDN39740_c0_g1,0
isogroupDN39747_c0_g1,0
isogroupDN39752_c0_g1,0
isogroupDN39773_c0_g1,0
isogroupDN39779_c0_g1,0
isogroupDN39786_c0_g1,0
isogroupDN39816_c0_g2,0
isogroupDN39818_c0_g1,0
isogroupDN39845_c0_g1,0
isogroupDN39872_c0_g1,0
isogroupDN39876_c0_g1,0
isogroupDN39934_c0_g1,0
isogroupDN39943_c0_g1,0
isogroupDN39944_c0_g1,0
isogroupDN39963_c0_g1,1
isogroupDN40051_c0_g1,0
isogroupDN40053_c0_g1,0
isogroupDN40053_c0_g2,0
isogroupDN40068_c0_g1,0
isogroupDN40097_c0_g1,0
isogroupDN40100_c0_g1,0
isogroupDN40103_c0_g1,0
isogroupDN40127_c0_g1,0
isogroupDN40129_c0_g1,0
isogroupDN40142_c0_g1,0
isogroupDN40147_c0_g1,0
isogroupDN40173_c0_g2,0
isogroupDN4019_c0_g1,0
isogroupDN4019_c0_g2,0
isogroupDN40202_c0_g1,1
isogroupDN40216_c0_g1,0
isogroupDN40230_c0_g1,0
isogroupDN40232_c0_g2,0
isogroupDN40234_c0_g1,0
isogroupDN40234_c0_g2,0
isogroupDN40272_c1_g2,0
isogroupDN40282_c0_g1,1
isogroupDN40289_c0_g1,0
isogroupDN40303_c0_g1,0
isogroupDN40327_c0_g2,0
isogroupDN40356_c0_g1,0
isogroupDN40392_c0_g1,0
isogroupDN40392_c0_g2,0
isogroupDN40400_c0_g1,0
isogroupDN40402_c0_g1,0
isogroupDN40403_c0_g1,0
isogroupDN40422_c1_g1,0
isogroupDN40455_c0_g1,1
isogroupDN4046_c0_g1,0
isogroupDN4046_c0_g2,0
isogroupDN40487_c0_g1,0
isogroupDN40502_c0_g1,0
isogroupDN40533_c0_g1,0
isogroupDN40547_c0_g1,0
isogroupDN40547_c0_g2,0
isogroupDN40572_c0_g1,0
isogroupDN40616_c0_g1,0
isogroupDN40617_c0_g1,0
isogroupDN40619_c0_g1,0
isogroupDN40627_c0_g1,0
isogroupDN40636_c0_g1,0
isogroupDN40659_c0_g1,0
isogroupDN40680_c0_g1,0
isogroupDN40691_c0_g1,0
isogroupDN40691_c0_g2,0
isogroupDN40695_c0_g1,0
isogroupDN40707_c0_g1,0
isogroupDN4070_c0_g1,0
isogroupDN40726_c0_g1,0
isogroupDN40735_c0_g1,0
isogroupDN40738_c0_g1,0
isogroupDN40747_c0_g1,0
isogroupDN40748_c0_g1,0
isogroupDN40809_c0_g1,0
isogroupDN40816_c0_g1,0
isogroupDN40816_c0_g2,0
isogroupDN40839_c1_g1,0
isogroupDN40865_c2_g1,0
isogroupDN40876_c0_g1,0
isogroupDN40888_c0_g1,0
isogroupDN40888_c0_g2,1
isogroupDN40896_c0_g1,0
isogroupDN40908_c0_g1,0
isogroupDN40955_c0_g2,0
isogroupDN41007_c0_g1,0
isogroupDN41008_c0_g1,0
isogroupDN41020_c0_g1,0
isogroupDN41020_c0_g2,0
isogroupDN41027_c0_g1,0
isogroupDN41036_c0_g1,0
isogroupDN41036_c0_g2,0
isogroupDN41048_c0_g1,0
isogroupDN41073_c0_g1,0
isogroupDN41073_c0_g2,0
isogroupDN41329_c0_g1,0
isogroupDN41345_c0_g1,0
isogroupDN41377_c0_g2,0
isogroupDN41377_c0_g3,0
isogroupDN41382_c0_g1,0
isogroupDN41418_c0_g1,0
isogroupDN41424_c0_g1,0
isogroupDN41457_c0_g1,0
isogroupDN41457_c0_g2,0
isogroupDN41474_c0_g1,0
isogroupDN41500_c0_g1,0
isogroupDN41536_c0_g1,0
isogroupDN41637_c0_g3,0
isogroupDN41673_c0_g1,0
isogroupDN41689_c0_g1,0
isogroupDN41699_c0_g1,0
isogroupDN41701_c0_g1,0
isogroupDN4176_c0_g1,0
isogroupDN41789_c0_g1,0
isogroupDN41792_c1_g1,0
isogroupDN41792_c1_g2,0
isogroupDN41818_c0_g1,0
isogroupDN41832_c0_g1,0
isogroupDN41835_c0_g1,0
isogroupDN41910_c0_g1,0
isogroupDN41911_c0_g1,0
isogroupDN42009_c0_g2,0
isogroupDN42085_c1_g1,0
isogroupDN42114_c0_g1,0
isogroupDN42229_c0_g1,0
isogroupDN42238_c0_g1,0
isogroupDN42291_c0_g1,0
isogroupDN42426_c0_g1,0
isogroupDN42449_c0_g1,0
isogroupDN42473_c0_g1,0
isogroupDN42484_c0_g1,0
isogroupDN4253_c0_g1,0
isogroupDN4253_c0_g2,0
isogroupDN42572_c0_g1,0
isogroupDN42615_c0_g1,0
isogroupDN42617_c0_g1,0
isogroupDN42651_c0_g1,0
isogroupDN42690_c0_g1,0
isogroupDN4269_c0_g1,0
isogroupDN42727_c0_g1,1
isogroupDN42741_c1_g1,0
isogroupDN42742_c0_g1,0
isogroupDN42813_c0_g1,0
isogroupDN42840_c1_g1,0
isogroupDN42879_c0_g1,0
isogroupDN42885_c1_g1,0
isogroupDN42885_c1_g2,0
isogroupDN42904_c0_g1,0
isogroupDN42907_c0_g1,0
isogroupDN42907_c0_g2,0
isogroupDN42931_c0_g1,0
isogroupDN42968_c0_g1,0
isogroupDN42970_c0_g1,0
isogroupDN42975_c0_g1,0
isogroupDN42981_c0_g1,0
isogroupDN43038_c0_g1,0
isogroupDN4304_c0_g1,0
isogroupDN4304_c0_g2,0
isogroupDN43114_c0_g1,0
isogroupDN43143_c0_g1,0
isogroupDN43173_c0_g1,0
isogroupDN43215_c0_g1,0
isogroupDN43215_c0_g2,0
isogroupDN43218_c0_g1,0
